measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Global,Both,All Ages,Brain and central nervous system cancer,Number,2011,210032.4237892061,227275.33061649743,164803.50385683417
Deaths,Global,Both,All Ages,Thyroid cancer,Number,2011,38122.42157935274,39927.211633383806,34369.363335734386
Deaths,Global,Both,All Ages,Mesothelioma,Number,2011,25278.779065292587,26660.030219476266,23149.464414862374
Deaths,Global,Both,All Ages,Hodgkin lymphoma,Number,2011,26182.953311919406,30433.144966215244,22705.6118474784
Deaths,Global,Both,All Ages,Non-Hodgkin lymphoma,Number,2011,210039.32198639837,218731.9059336313,198307.66086720748
Deaths,Global,Both,All Ages,Multiple myeloma,Number,2011,90393.84508537152,96506.10301129398,79257.20062044177
Deaths,Global,Both,All Ages,Prostate cancer,Number,2010,377905.0484273973,449393.34762590186,318988.5069794509
Deaths,Global,Both,All Ages,Colon and rectum cancer,Number,2010,857808.4045041275,892300.6698326892,806276.5255656347
Deaths,Global,Both,All Ages,Lip and oral cavity cancer,Number,2010,157287.89397103176,163981.17507180673,150542.12679416133
Deaths,Global,Both,All Ages,Nasopharynx cancer,Number,2010,61669.41758349092,65232.839752842374,58372.45804157738
Deaths,Global,Both,All Ages,Other pharynx cancer,Number,2010,87462.84623048894,91690.58266681278,83282.88548573098
Deaths,Global,Both,All Ages,Gallbladder and biliary tract cancer,Number,2010,142774.58344809088,151502.8831671388,120972.54046768177
Deaths,Global,Both,All Ages,Pancreatic cancer,Number,2010,389196.4343485335,403718.984089241,366848.2405359763
Deaths,Global,Both,All Ages,Malignant skin melanoma,Number,2010,53357.59228144842,58873.2289887427,39297.40080786892
Deaths,Global,Both,All Ages,Non-melanoma skin cancer,Number,2010,43298.09148927805,45255.82794396472,39342.27149436104
Deaths,Global,Both,All Ages,Ovarian cancer,Number,2010,153456.04520580813,164591.3169445652,141768.17020620572
Deaths,Global,Both,All Ages,Testicular cancer,Number,2010,9132.757939465588,10065.14012820407,8690.42920313194
Deaths,Global,Both,All Ages,Kidney cancer,Number,2010,131982.28892797834,135979.2953553195,125452.27509285674
Deaths,Global,Both,All Ages,Bladder cancer,Number,2010,181994.47849778767,188997.96517046556,170734.25184879373
Deaths,Global,Both,All Ages,Brain and central nervous system cancer,Number,2010,206474.06480211348,223547.1295079231,161637.0743295718
Deaths,Global,Both,All Ages,Thyroid cancer,Number,2010,37268.460596396326,38957.16151231835,33797.06919938253
Deaths,Global,Both,All Ages,Mesothelioma,Number,2010,24512.745138148617,25915.12148226886,22478.32856645712
Deaths,Global,Both,All Ages,Hodgkin lymphoma,Number,2010,26025.51446734182,30341.23505872204,22572.39338886759
Deaths,Global,Both,All Ages,Non-Hodgkin lymphoma,Number,2010,204143.1762781894,211900.85236236828,193702.3774090762
Deaths,Global,Both,All Ages,Multiple myeloma,Number,2010,88084.848553214,94140.61813270036,77541.90485795561
Deaths,Global,Both,All Ages,Leukemia,Number,2012,305640.41783560347,323608.46474198764,280563.63322654227
Deaths,Global,Both,All Ages,Larynx cancer,Number,2010,105126.8592523467,109239.6080544933,100769.01631203582
Deaths,Global,Both,All Ages,"Tracheal, bronchus, and lung cancer",Number,2010,1670745.4270102386,1737302.071978523,1592450.8959285764
Deaths,Global,Both,All Ages,Breast cancer,Number,2010,564632.4684324703,586444.1067939798,535847.2401802687
Deaths,Global,Both,All Ages,Cervical cancer,Number,2010,237932.83145597755,268669.6507406038,210985.87395665198
Deaths,Global,Both,All Ages,Uterine cancer,Number,2010,79571.7203601213,84065.5887760313,69249.16567420478
Deaths,Global,Both,All Ages,Esophageal cancer,Number,2014,446949.27450392547,480753.0483131688,395455.2041832717
Deaths,Global,Both,All Ages,Stomach cancer,Number,2014,906598.6451606939,960351.3935860408,849130.6242196655
Deaths,Global,Both,All Ages,Liver cancer,Number,2014,422102.4840413954,444287.00489069003,399286.62998211104
Deaths,Global,Both,All Ages,Larynx cancer,Number,2015,113940.37909142699,118688.90697015828,108614.93680820995
Deaths,Global,Both,All Ages,"Tracheal, bronchus, and lung cancer",Number,2015,1840754.4772257744,1932827.7541444427,1738583.7044064444
Deaths,Global,Both,All Ages,Breast cancer,Number,2015,638350.6443994744,669210.1464483785,600410.2216018911
Deaths,Global,Both,All Ages,Cervical cancer,Number,2015,264032.2814481308,291551.5471147091,226725.8249573235
Deaths,Global,Both,All Ages,Uterine cancer,Number,2015,85229.13714774411,94275.87807401308,77888.14539895847
Deaths,Global,Both,All Ages,Prostate cancer,Number,2015,428182.7983378083,522205.48793769145,368935.27383635263
Deaths,Global,Both,All Ages,Colon and rectum cancer,Number,2015,958726.6225849203,1002165.6685331266,896087.1240640213
Deaths,Global,Both,All Ages,Lip and oral cavity cancer,Number,2015,179876.1214174046,190068.8925652218,169532.95228318477
Deaths,Global,Both,All Ages,Nasopharynx cancer,Number,2015,66365.14011038566,70525.8062966958,62390.927307447724
Deaths,Global,Both,All Ages,Other pharynx cancer,Number,2015,101696.60040772837,107215.28589482808,96547.83542527608
Deaths,Global,Both,All Ages,Gallbladder and biliary tract cancer,Number,2015,156286.76813460892,166837.3745844168,132352.9329081875
Deaths,Global,Both,All Ages,Pancreatic cancer,Number,2015,459984.1778798664,481071.81804756913,430819.5006761854
Deaths,Global,Both,All Ages,Malignant skin melanoma,Number,2015,58797.28464672893,65395.83312851772,42872.14317890653
Deaths,Global,Both,All Ages,Non-melanoma skin cancer,Number,2015,50905.370797932876,53662.59274259155,46046.79045164146
Deaths,Global,Both,All Ages,Ovarian cancer,Number,2015,175055.60928927243,189302.24966943538,159554.8515732271
Deaths,Global,Both,All Ages,Testicular cancer,Number,2015,10049.707513977633,10833.59016638571,9560.471236955838
Deaths,Global,Both,All Ages,Kidney cancer,Number,2015,149285.30672626395,154779.70295347256,141097.22079597926
Deaths,Global,Both,All Ages,Bladder cancer,Number,2015,205124.1313303344,213451.14596392054,190744.81441878297
Deaths,Global,Both,All Ages,Brain and central nervous system cancer,Number,2015,228347.95378679072,247460.9771146044,173256.01425965474
Deaths,Global,Both,All Ages,Thyroid cancer,Number,2015,41382.61801755576,43401.85277049855,37546.220681244304
Deaths,Global,Both,All Ages,Mesothelioma,Number,2015,27459.34295392324,28934.64635012646,25280.34851904935
Deaths,Global,Both,All Ages,Hodgkin lymphoma,Number,2015,26626.420444424904,30791.964306287897,23174.255024891023
Deaths,Global,Both,All Ages,Non-Hodgkin lymphoma,Number,2015,231134.38465650176,240467.4225189147,217501.95409034553
Deaths,Global,Both,All Ages,Multiple myeloma,Number,2015,101082.21009031293,108273.6835227909,88849.08088779842
